Parent	Type	Child
Biomaterial	hasCharacteristics	BiomaterialType
Biomaterial	hasCharacteristics	MaterialProperties
Biomaterial	hasCharacteristics	MechanicalProperties
BiomaterialType	isType	Alloy
BiomaterialType	isType	BioInk
BiomaterialType	isType	Blend
BiomaterialType	isType	Ceramic
BiomaterialType	isType	Composite
BiomaterialType	isType	Glass
BiomaterialType	isType	Metal
BiomaterialType	isType	NaturalMaterial
BiomaterialType	isType	Polymer
BiomaterialType	isType	SyntheticMaterial
BiomaterialType	isType	NaturalGraft
Ceramic	isSubType	Bioceramic
Composite	isSubType	Biocomposite
Composite	isSubType	Nanobiocomposite
Glass	isSubType	Nanobioglass
Glass	isSubType	BioactiveGlass
Polymer	isSubType	Biopolymer
Polymer	isSubType	Copolymer
Polymer	isSubType	Nylon
Polymer	isSubType	SyntheticPolymer
Polymer	isSubType	Tripolymer
Polymer	isSubType	SupramolecularPolymer
Copolymer	isSubType	BlockCoPolymer
Copolymer	isSubType	BlockCoPolymer
SyntheticPolymer	isSubType	PolyalphaHydroxyAcid
MaterialProperties	hasProperty	BiologicallyDegradable
MaterialProperties	hasProperty	Coating
MaterialProperties	hasProperty	Shape
MaterialProperties	hasProperty	Crystallinity
MaterialProperties	hasProperty	Hydrophobic
Shape	hasPropertyShape	Block
Shape	hasPropertyShape	Disc
Shape	hasPropertyShape	Flat
Shape	hasPropertyShape	Nano-grooved
Shape	hasPropertyShape	Particle
Shape	hasPropertyShape	Sheet
Coating	isType	NoCoating
Coating	isType	OctacalciumPhosphate
Coating	isType	TitaniumSputterCoating
Coating	isType	Vitronectin
MechanicalProperties	hasProperty	ElasticModulus
MechanicalProperties	hasProperty	Hardness
MechanicalProperties	hasProperty	FractureStrength
MechanicalProperties	hasProperty	FractureToughness
MechanicalProperties	hasProperty	Fatigue
MechanicalProperties	hasProperty	Wetting
MechanicalProperties	hasProperty	Swelling
MaterialProperties	hasProperty	Fiber-Crosslinking
MaterialProperties	hasProperty	SurfaceStructure
SurfaceStructure	isType	Smooth
SurfaceStructure	isType	Porous


